monthly_charges,tenure_months,support_calls,internet_usage_gb,contract_type,churn
71.6662834971061,24,3,98.54162528718761,2,0
145.2555870524991,3,9,35.43767190238693,1,1
93.89004677495203,1,1,6.1136961811858015,1,1
120.27710061050355,53,9,39.88533548409438,0,1
131.9535601986143,44,8,99.76392508711207,1,1
135.55001917231857,47,1,65.33936920005956,0,1
87.40002745837494,51,8,71.0698908170271,0,1
71.57653259604055,38,0,27.642979448269763,2,1
92.86694865949714,51,6,18.862409053130982,0,1
72.26915221026563,17,5,89.12349156977335,2,1
51.292946006821396,41,5,44.272259444422566,0,0
62.109577531666766,21,1,5.390220567022252,2,1
50.260081311017856,45,0,32.95336563769635,0,1
55.02689197733202,47,9,23.594550289852233,1,1
32.16900584064365,48,7,62.35836446328695,2,1
75.44015369410761,13,7,76.83170114499946,2,1
50.58690785841908,2,1,52.26235745095888,0,1
78.28765181128189,2,3,22.66040749240656,1,1
122.98577044291811,43,3,10.506624040366301,1,1
78.28060592161304,25,1,34.785730434894525,2,1
144.099543192263,28,8,81.56651981700439,1,1
39.21879628864271,48,3,44.853785837916526,1,1
130.53444880892368,49,3,28.96385473688822,0,1
52.273554829488376,26,3,6.968853857079215,1,1
141.41134861114665,35,4,52.1258949631743,1,1
49.529230438325094,28,9,70.05810027781399,1,1
117.10503217542472,58,7,23.081299020615678,1,1
28.07532711179612,59,3,56.03293975876873,0,0
101.8757468308231,55,2,44.97017903519855,0,1
48.4276483290723,33,0,71.8750292791625,1,1
107.12243041427068,18,1,86.75746575752166,0,1
102.6578138912301,14,3,34.16964401389908,2,1
140.0804643558211,54,8,90.95325233825537,0,1
101.46793598065827,41,0,72.16042083586338,0,1
73.072345514488,9,5,8.530780720207101,0,1
45.1638146303964,44,5,80.16807526797501,2,0
105.46863111073816,56,9,51.98957103476404,2,1
35.12765850996823,30,2,94.8187847221521,2,1
127.70718749982981,3,9,35.74499223788513,0,1
52.15349110205228,34,8,61.1652976179554,2,1
88.14065677233486,33,9,95.83388739745372,2,1
97.4731495628214,27,2,30.760174637622136,0,1
67.12369875167329,59,0,49.83558671797256,1,0
106.30359108439204,9,1,76.48707103051017,0,1
52.5282046559769,13,3,70.65437508579049,0,1
24.501194590957407,30,3,84.67681032581406,0,1
144.7048056975417,53,1,54.380684545705904,1,1
61.605958074609504,16,9,35.297513228835264,0,1
112.75009050586067,51,5,55.83303793858141,0,1
85.9793688996495,42,5,38.24620300580639,1,1
106.96982802469054,26,2,21.760901009216045,0,1
34.42174792703811,59,0,57.722121749313374,0,0
87.45022376509289,5,9,9.59615260972663,0,1
70.98854195658865,46,8,8.474653784403044,1,1
78.74044368838199,27,3,11.134486246859707,0,1
145.60708328275072,15,8,68.89806142017349,1,1
37.717557628795994,28,4,43.66375080140859,1,1
118.11102293348178,3,6,51.94094232360707,2,1
62.94456324252658,41,2,37.622891962120434,0,1
57.746538391089096,1,2,29.09544133235873,0,1
55.20106146690449,1,7,39.03899042872062,2,1
65.34160191897583,51,0,23.3709261059779,2,0
66.42521774716879,6,7,69.48200127510087,0,1
55.197110673656276,11,7,14.664871980298885,0,1
106.77410921055187,50,2,54.10556796399077,2,0
26.20385788103242,46,0,50.298564439125364,0,1
63.19819475476494,16,8,33.68274368578104,0,1
56.42672888868901,33,3,14.717491997632093,0,1
117.68434267148311,24,6,71.8189824949217,2,0
39.04481072254188,59,8,59.10633435198785,2,1
142.28932847264025,32,2,81.90025336312027,1,1
42.16741956587015,10,4,27.374752033346205,1,1
68.10355732826166,25,9,80.19859097496229,0,1
45.961025147085934,10,2,32.73484378021853,0,1
57.27073265137177,13,4,15.696119447723365,1,1
118.93321108685623,1,1,17.81704741829514,1,1
81.9326134359868,35,3,26.000555635556516,1,1
41.1348432503325,14,1,69.83074513083872,0,1
26.062534223794582,21,2,28.176364831797517,0,1
49.88910862213575,48,4,62.367740689062735,1,1
142.92836120838274,55,8,29.369664073797566,2,1
129.89117726444434,58,2,39.696229205804286,1,1
77.22258307012112,52,9,89.5235196560483,2,1
82.6593788529778,38,5,52.53439374063007,2,1
136.91759811926934,1,3,62.02392296284897,0,1
96.87489970884559,20,3,22.981298794007156,2,1
134.49971846933923,56,9,17.493076632514864,2,1
83.93908356580428,5,9,44.25212451456455,1,1
46.01269048544737,40,4,86.2616224176278,1,1
114.37050739249055,44,6,27.887747790016313,2,1
88.43113154527164,32,3,64.06078324335633,1,1
106.89714539590094,1,7,87.84914067449661,1,1
40.440019170934306,45,8,93.76899027110876,1,1
104.18823424946294,58,8,99.41007538815036,1,1
69.69342916266567,41,8,77.48093020119947,2,1
63.15970786545547,52,1,12.125961189141577,2,1
107.29182033943827,57,2,87.78888936376535,2,0
96.99108472392436,56,4,89.13550314434055,2,0
104.38396576177158,40,0,57.94186972416394,2,1
145.49329835009388,45,3,11.406007784146801,0,1
111.15554104402432,2,4,50.28320457025374,1,1
103.31686509547578,31,8,25.01650340842118,0,1
99.76189543938257,47,7,47.000171415245454,2,1
71.8328524159861,46,0,73.79201537680242,1,0
129.0949198484836,51,2,68.41731142292818,2,0
69.52201832574238,26,2,79.09922476231951,0,1
111.03167246232303,9,5,50.26966036027834,2,1
58.10867381290673,51,3,53.525247915611914,1,0
39.20833742961732,30,3,93.89047760148179,2,1
36.869229948739495,46,0,64.96244995766017,2,0
102.49265136980381,8,9,76.01635990995388,1,1
