age,income,experience,hours_per_week,certifications,hired
56,66106.60664806077,4.2854361862051915,22.890880490209476,4,1
46,91586.2393273107,1.2898136091169254,55.03542885467805,2,1
32,72417.00829732278,11.485870794171472,40.97143933499005,2,1
25,128373.7213617724,12.440589585040184,36.33067095705704,3,1
38,125907.23061229859,10.114845967108888,32.387222574058235,1,1
56,99538.03261341879,16.3420426600523,31.884686325113677,3,1
36,68549.53286725169,17.220176426160272,32.23210329797915,4,1
40,53193.72858922174,12.312487933662533,55.392123238407834,3,1
28,33763.66136770681,0.2551295941486109,48.95180920699142,4,1
28,66136.69885325202,13.904593114954713,46.788920313246024,3,0
41,73712.42723700355,8.359984338407031,51.94996595808003,1,1
53,107856.98026352956,11.31114966452774,30.2845865201658,0,1
57,105560.77715868455,12.981612040377687,44.721712483270224,1,1
41,29114.058153363403,7.004732286541535,38.40264955831804,3,1
20,71383.71100605051,18.341970103435884,51.29766540800773,2,0
39,43631.25273825705,2.679497334995624,32.37024441893142,0,1
19,40385.65169118474,13.430236145620748,45.72714467479583,2,1
41,127549.27946584197,0.08719159913160857,55.288496472692536,1,1
47,25448.97817311348,18.493022108103617,36.08601904779715,0,1
55,74493.77386727577,2.25008266476183,22.664883494698458,3,1
19,41866.47524964737,1.8976846029514927,40.64203289367171,2,0
38,134312.92803820164,6.660152661044885,33.83889951228104,3,1
50,92415.26672575457,7.471325720781612,46.889015221887,4,1
29,50079.482728990246,4.286001446457572,58.04131698994424,0,1
39,85315.54733162894,11.702433218542494,39.42433271987388,2,1
42,115093.22676140505,8.858281960839271,38.647609206221354,1,1
44,144555.34115952638,0.6835117808217483,46.18339200765841,1,1
59,48657.98055190446,6.393041245106012,24.139900143742707,1,1
45,135203.63037681486,16.20865827146341,30.140247557000585,1,1
33,141459.53484177374,13.794030697237371,56.75917302001594,2,1
32,139134.67078916862,14.49741707159761,46.79770453455065,4,1
20,102603.86639204828,13.962338481670471,20.53776175933665,1,1
54,101876.685076512,6.219460427660666,28.185018902360795,1,1
24,72417.38231389696,1.9932784415355176,47.313490641155965,1,0
38,117811.72469949242,5.44934368066192,50.57596810250297,4,1
26,89068.22238562115,16.635706003703184,53.59438290696168,0,1
56,108066.94925967828,19.609415955661422,31.687072135281795,1,1
35,75699.5275003434,9.876940294831227,57.24114385110251,1,1
21,115094.54032560808,0.1940070984608444,42.1178757431157,1,1
42,127181.29728859138,2.8008962426845807,47.861560895515716,0,1
31,39036.71335836609,6.441611506325316,43.86955451119632,1,1
26,128280.86302464965,11.571706971858994,24.90960218698482,0,1
43,90238.54913273994,1.5018729161062794,58.524586375395195,0,1
19,129806.56818172916,18.867145974197634,24.915023195766107,3,1
