income,credit_score,debt,age,dependents,approved
87417.22139252524,516.4995361525931,37364.08184666985,45,1,0
191128.5751537849,560.3896126562618,33291.20962314033,39,4,1
151758.9095260529,770.0010662611992,17615.391250286004,62,2,1
127758.52715546658,487.0024123329407,60726.66701014879,33,3,0
48083.35527963858,778.3073266466943,47662.416050862885,30,0,1
48079.01366051647,348.47393703718035,86570.09923240036,53,1,0
30455.050190275902,727.2391404647469,3210.9580482058254,53,2,0
175911.70623948833,766.151198180105,64386.79275551264,60,1,1
128200.70211377759,399.9997090605363,76294.8878511561,40,5,0
147453.0640032882,536.6905928047103,75948.6569188307,31,3,0
23705.20897324444,391.0248760650106,88607.39670955251,49,4,0
194583.77338915897,688.6322709468197,72903.3742829494,20,5,1
169839.67534407592,594.4412724339112,92781.00616476963,44,4,0
58221.03992208971,649.4278406895766,33265.65998208915,36,2,0
52728.49409727811,408.06783182591613,50320.94167515431,39,3,0
53012.81177361809,416.46022412883076,1407.9663282890676,18,0,0
74763.60373271679,322.8235290304485,695.7587303291212,22,0,0
114456.15769380282,477.1371443576513,24012.66204515199,66,4,0
97750.10335558084,607.8595637335212,10080.719713908526,50,5,1
72421.24523564754,771.8642026985308,26021.136793575362,68,3,1
130133.5210500283,666.8100961022744,17704.32945283974,36,3,0
45108.894917367536,539.4679778698633,2852.0024838648237,53,2,0
72586.03673633927,824.2160629167757,90930.41464060494,68,5,1
85945.1317928645,695.5848603167076,822.3131388891525,23,0,0
102092.59715906647,811.5908615744024,73608.21443370853,32,2,0
161331.67305074245,590.1733852996911,15214.788691951653,53,1,1
55941.28078850475,442.3973511362268,91222.96219996,50,3,0
112562.19891445008,329.0546775005971,89279.59395898858,41,0,0
126634.62239516765,699.3466683161178,65390.11463692573,44,2,1
28361.07428959959,366.71664890304373,67223.41498006051,66,4,0
129358.07334225891,466.52632054958195,533.9141969688543,28,1,0
50694.342263712475,592.8589993361436,98487.1566113602,66,2,0
31709.28673735031,610.4291232788612,87783.26035758144,40,4,0
190799.3967056,630.3207583429248,89510.6225730092,50,0,1
193813.7659534207,391.4404316923353,65924.45370508719,58,0,0
165511.522660963,508.8555726519068,34478.69286545365,63,1,0
74830.47845120673,639.4568249143317,89364.86490904808,64,4,0
37580.9805211491,833.4003755485816,29151.692815119233,46,3,0
143161.94477218826,700.1971257348288,56271.154334220286,48,0,1
99227.44887312823,807.4320664016768,9973.09723438824,18,5,1
41966.88227206019,719.2166320727974,92195.56301327502,51,3,0
109131.84382002863,625.4443328908203,14077.045777121333,35,3,1
26189.93380073931,405.6128530249895,22489.680573040725,35,2,0
183677.67237418078,666.6771085408822,55813.4158128215,23,2,1
66580.39668800303,642.8587612779488,76409.30002129816,69,0,0
139254.01118371676,631.3580437514966,61935.130593629896,57,3,0
76107.99369609397,569.3822273935324,23213.391280015618,18,2,0
113612.24381200595,590.7611321941016,94.30425274903342,64,4,1
118407.85028179034,483.94338991495727,75715.05803074392,59,4,0
53273.80199459487,585.6219809532668,98520.73259110938,47,4,0
194525.23299762054,408.65574812316305,80991.31203060904,21,4,1
159523.90820500063,742.8459185482072,46020.66181566154,49,3,1
189109.80948155405,402.1773250842893,90376.72613991065,27,4,1
181068.9230769768,346.73145943920656,40984.767311835,60,3,0
127621.99618599533,539.9353144964366,52493.40842434675,22,0,1
185937.36230416104,662.069091728334,47712.97673956832,26,0,1
35928.65036934551,540.7442537134477,44762.3872665525,22,4,0
55276.91523544613,452.21477257321976,77519.07692939058,28,4,0
28140.912003896854,606.9941511397424,52676.8907269492,52,4,0
78559.45953738758,490.85128447670996,31671.71220252161,44,0,0
89961.91214410675,813.0772295696482,25815.81676584783,21,2,1
68842.82571930127,807.4548267819646,3774.7316967433385,27,0,1
169172.7516473473,576.3045009846526,58319.5161883046,56,4,0
84215.59880484607,480.33619671004215,22996.14154010342,50,2,1
70568.21174372853,705.4228276761514,14813.39220163831,55,2,0
117685.29496848473,320.19211891568665,65382.996382767764,25,1,0
45366.36049545728,561.1229533240082,68120.92578215488,66,3,0
164395.45653572713,484.97786684868345,75215.48922576659,41,4,1
33419.11586235875,806.2947368064051,50357.68963385915,56,3,0
197639.6485880931,306.6016649999754,89405.46052038866,50,1,0
159004.05847339833,604.048181645092,93634.27533982278,58,3,0
55768.82267615103,707.3649695866443,80737.09397924894,60,4,1
20993.981082248432,566.7598931382227,63559.34820081872,36,1,0
166783.05712187014,346.9716665894969,30372.095359118866,19,3,0
147234.32189257108,834.8537645153463,98294.49216202211,28,0,1
151221.2902473777,584.9057372568539,27413.616719193833,52,2,0
158828.66240347023,637.8024343754562,20265.692199043107,34,1,1
33328.037312136265,430.13538048912903,44215.411378658275,59,0,0
84523.83113796907,565.9239468087421,5684.057071238846,20,4,0
40856.43071452335,536.032220577077,97849.44646717908,39,2,0
175358.61665760682,341.19271310109104,58843.35564164248,52,1,1
132193.66282896043,358.388194451107,55695.209166417524,38,2,0
79561.64447347686,760.609885790326,65579.627989972,42,5,0
31440.503051484255,431.90097371362464,49702.364777720664,56,5,0
75976.8179088192,407.22704932424676,3206.3517094541585,19,1,0
78532.99796481447,577.7012981875766,61231.128884039674,18,1,0
151329.11210085152,722.8109222493821,71617.38769564306,24,3,1
134760.34484393836,334.07058521844334,41674.906062405316,37,2,0
179698.2936637388,617.2443558010407,75729.55720711929,60,5,1
104998.68652915087,365.56574356231533,22700.12993384206,23,5,0
41526.964268894306,320.05357795409014,22127.6591066184,53,2,0
148384.0617001391,329.00917368921955,16141.698768757395,68,5,0
156941.30875104154,758.7902595146427,37199.47597891618,38,0,1
121029.89556250932,364.88486599543387,84701.20353890836,68,5,0
158774.09239182097,324.83325042676057,82791.20621490643,63,5,0
108883.20734559033,540.8449379286018,38282.42079635038,52,4,0
114091.90928875894,764.1964095681136,58911.87359802366,53,0,1
96957.38330453893,444.32460706911604,72081.63164749157,25,3,0
24575.442813937134,531.941939639254,24120.677462802298,67,1,0
39420.4568587948,321.95739291006316,16814.10858947471,21,5,0
25657.253423612165,546.9931827741817,97209.5993212311,60,3,0
134553.8740274805,617.6871943504235,61755.73132096185,33,3,0
76584.0765937388,613.9988795636796,98141.57218336638,20,0,0
111542.7244096465,482.83468069590083,33775.59871322291,24,1,0
183361.96530669674,473.54324936472455,70303.16999741315,19,4,0
64872.60124679749,358.64299041512885,22260.363654123772,18,3,0
93868.92614641335,501.73907635544765,26120.017127391293,18,4,0
155999.20493774876,354.72206788013057,51190.2121269624,55,1,0
61183.66978849204,721.6277695916284,31961.812550807124,68,1,1
33856.383769182736,831.4508637615022,16762.156384058446,24,0,1
72155.26152447824,833.5409511666888,26288.0701989326,41,2,1
49019.8317057208,775.7891046564666,3574.839446586464,22,5,1
187345.57742166315,630.4356821367905,70442.36214774866,38,0,1
165461.66832159506,685.4761334841339,49211.66570858616,45,4,1
134012.67617187623,456.86319147422773,9424.306640452562,35,0,1
176862.9062337892,646.9237310949413,17169.39931284912,41,1,1
164660.9738418406,550.6072521919326,10253.453811264402,49,3,1
53582.61059948645,565.1095368773128,61259.280827587645,62,5,0
180660.619728196,716.7771082063368,9421.03636124938,50,5,1
117081.60354481713,455.0550955784884,75428.23330352161,27,2,0
165339.22792953125,474.92178643198594,2051.0919320391176,26,1,1
181296.43398622877,808.5529851207502,24937.57879958921,66,5,1
77240.62549493549,330.9233621680347,89066.66758919072,50,5,0
39809.34641498182,567.0988641273373,71853.1318122246,50,3,0
61028.3292575495,802.0404402243239,7296.833292568772,24,4,1
96879.40195272614,635.6996542999864,82112.61044851798,21,4,0
167242.65786604877,600.5238908166726,49303.51215402048,45,4,1
174931.5049861418,437.35929857614536,84678.30271688293,40,0,0
21251.383495614326,488.80151898544653,60073.97744503934,49,4,0
111934.51446396184,768.6266286925811,68183.30320328588,61,4,0
95133.98056678021,607.5699724726519,99350.15603957081,33,0,0
59979.405884731445,583.108206566229,23233.55459240182,63,3,0
41575.76612006291,354.7688424470159,62394.557476138834,27,1,0
80770.73085265304,308.8154860503177,46032.13900573984,31,5,0
189723.74670425346,830.026853777877,3945.1952922691435,56,2,1
78176.52776373594,507.3423920077629,1447.0641502865033,53,5,0
113382.3119138059,631.7671841547274,11922.857781785868,51,4,0
146543.412601132,343.8432902530067,64909.17405385481,41,4,0
85453.32842827291,675.7128571476755,56716.30879133922,35,5,0
194920.77488977293,812.9116897882785,55342.95611637274,33,5,1
193240.51308958002,616.6158891485809,3185.6762528260087,58,4,1
65320.81324856555,369.36342730647584,46930.2996360007,54,0,0
109504.73106062938,619.9468401104123,92462.28178425286,58,0,1
74158.09576701853,721.4909672075588,39759.18693106466,42,0,1
71271.28898794416,523.5290951157103,62492.24697884564,25,2,0
26639.650523815904,783.9107613678073,77981.86756231435,41,1,1
129721.58011638143,656.7756243465504,78392.52791418876,37,4,0
110482.22418119507,794.5869050590613,51928.00823952714,65,3,0
29266.175224998085,642.9279211860355,85795.19454023363,47,5,0
70156.36356259006,372.2083846026533,39137.809336374696,37,5,0
183487.85947399767,470.33044110785397,88869.32147847983,35,4,0
63121.140320055034,410.9872215388513,24022.716639554532,21,4,0
46081.076976420154,799.8545737442743,28021.640699057105,65,4,1
108101.49684996135,718.2200370081155,5312.0624199001095,53,5,1
197417.0817399081,672.0191029005033,79558.18365422828,23,4,1
63569.948872070076,465.5314757973919,41705.52362327056,20,5,0
140984.39853305812,401.22462462761746,22911.661391139904,35,1,0
157091.53075916917,716.0480983939015,23179.027761657966,64,3,1
62774.75791863194,560.7868702334938,90139.99412292332,57,0,0
151078.94275013474,424.184253682846,83391.66004610369,35,3,0
86200.96388946558,639.1420879909012,55353.08853571833,40,4,0
133815.0495068443,322.18361867614857,61611.08004157211,52,3,0
134035.34793696104,479.39363977053944,47432.5570550291,23,4,0
116439.44313345653,557.706347025124,39166.65428788088,43,3,0
36252.15860979349,381.3770837601732,91547.68812183315,38,2,0
170354.44920606283,841.5599626749618,12561.270352030208,41,3,1
77740.41169491244,415.00355052428785,41844.678971622794,32,0,0
53573.33187197376,371.69422152379605,34456.19079878753,44,0,0
27339.525479857504,411.944180637793,49815.07202511484,49,3,0
126360.72977388353,722.9836232378484,45763.18745451751,29,5,1
141961.58513161083,534.0281125995135,51888.95316510814,22,5,1
22985.809207014107,610.9787668638959,13991.897722699408,24,5,0
112176.75049387058,311.5550363424984,51314.15015132771,39,3,0
60769.23953562883,318.937219715323,24241.881388721085,44,5,0
136131.102273701,545.2040524048589,18433.134898819124,32,1,0
51385.95722089846,749.160383760893,6483.421878619122,56,3,0
144368.79285844386,786.8813832891608,76265.2558756141,62,0,1
89612.36233409673,347.6886121776021,42744.192085655995,52,5,0
188611.3979726122,596.0997061555626,62664.368331175836,43,2,1
44753.769946278786,802.2763274535987,72759.33433047433,40,5,0
81391.94318904653,513.3850149188374,67931.66653135535,30,0,0
40425.23382330603,756.2612072856027,47050.071908968224,43,1,0
186444.8512901413,373.5326099196899,38789.85289517298,20,3,0
177921.0836085766,814.4669693172893,37595.990964066375,46,5,1
66429.49298872802,713.2828246422164,64004.879693005634,19,2,0
138797.12828615223,817.733916032796,49479.43549418734,45,0,1
167099.99603621886,672.1394784538786,84913.22479885106,40,2,1
119936.14608790322,499.8721625996849,87470.19843267121,53,4,0
115337.10410408117,815.9996448885973,17056.037800651848,66,0,1
63533.412362081304,451.5617269700482,13623.365154572564,23,4,0
36758.49820506186,482.6948871339529,63040.09260359995,28,2,0
181498.83643159881,685.4446299009571,30122.57480622794,55,3,1
182075.25028939947,720.9239647389625,1857.071876509886,51,3,1
133958.26230918823,811.1719161170346,88864.2669362955,34,3,1
81025.36238876612,412.6413249809152,22690.076724380826,20,4,0
82857.72343027896,738.8989193705731,92928.06516858091,61,3,0
150672.02219664308,706.2003293683299,71743.44508782537,63,1,0
181479.84679146387,335.08700593947884,76265.34899114844,51,0,1
179675.55636772112,512.9727276656138,20146.149579316043,39,0,1
160377.5982543723,455.5210013830542,23419.44256168129,46,2,1
135565.69630777178,467.46973339471674,52126.77538240657,46,5,0
35145.193699108786,840.6207837550854,17209.985264986215,22,4,1
49093.16853703048,653.5275774139603,30543.169268303227,27,0,0
181739.75393487426,694.7218867864248,32146.247794780447,27,4,1
129157.23073872618,837.139700523255,15962.99332527641,26,2,1
21655.469290993336,507.46098035170127,20518.283339516074,38,3,0
38264.87771588578,741.0120926490433,78855.18420082565,30,5,0
139430.31843945006,538.9920298174725,16719.58545472684,27,2,0
20911.085092319365,778.2435194982388,2845.7391843922487,55,1,1
48945.44925514975,399.36164772121674,62935.494262893844,28,3,0
118772.0820859855,821.2273973853538,97598.311939245,21,3,0
144541.1355846848,420.3244396259838,33121.381462312136,63,3,0
137353.0267104681,479.4212788395123,11865.570319625229,48,2,0
60368.47570290076,715.9057287587293,57038.73253675308,66,1,0
148192.25984255644,516.5653278609736,90635.42110956462,69,5,0
62704.83574942401,634.5162572215456,78406.17798284788,51,4,0
78571.9456686682,544.5154255881857,62251.5868412716,59,2,0
154368.45292124434,708.30346539938,31505.649660759937,52,0,1
136933.92182849866,425.58218880273597,54188.017327621994,56,0,0
172860.213888952,332.15189298028235,9124.484130425537,56,2,0
138370.3206140618,464.9611686101864,67894.542428067,50,4,0
122295.5486003849,560.8697656776367,72509.60188976508,25,0,0
36861.45820905665,392.4110287059732,96503.16229099188,49,4,0
86188.84455069804,495.13850931101376,26039.735874507165,50,3,0
67736.42618271058,519.9906600614627,1845.6419043022643,25,2,0
63918.13580823504,331.56551402855047,54560.84644271506,63,3,0
195141.8998554402,620.8189865013126,70679.05043968145,31,0,0
90757.59044001688,786.3888853842082,79040.7475882988,51,4,0
180568.3799318804,383.4586021241788,19373.89330248106,25,3,0
133604.95267950732,628.7944073708327,26175.286903702367,68,0,1
163066.03463749672,665.6065627009655,51259.09252672963,59,1,1
110474.67675893458,530.6340742306086,33060.08099700019,24,3,0
123842.69923274464,685.6036730503486,86051.1486587445,30,1,1
108653.1848873955,525.9023489200566,47376.015373872026,38,1,0
55143.73780364801,577.5505083875892,79957.8644102003,64,5,0
150041.38074707094,304.04417450493486,58061.976048235374,49,0,0
70539.02523935404,680.4460627740789,77309.0141617112,28,2,0
24376.87395766169,663.7384734195984,33267.29865303238,31,4,0
136185.01326329022,321.1204825294895,83141.66219303112,28,0,0
51879.92229326881,502.5375590673232,27457.231555102157,19,5,0
189282.54518352458,838.467512435417,54609.88080032908,51,5,1
191707.14386046573,531.4051094127392,21400.71131738742,61,3,1
184675.59023968072,576.0699728225129,47552.652162619335,64,4,1
86628.56604598,800.4615869878452,31817.520950870316,34,5,1
22782.190975196136,694.494031726166,26670.343063721426,31,2,0
187097.34126579057,620.1385721183229,96698.50180280374,42,0,0
97073.14669711658,738.7925747375898,16007.410548673062,65,2,1
193997.86742786053,775.4014465507853,78732.58374573952,44,3,1
193451.59587606552,551.2884394554968,98416.49594832149,25,0,1
173541.7019841248,561.3096007125095,1990.148374007783,34,3,1
73000.80057252542,512.3280146085096,69902.7414042095,22,4,0
89317.59114834655,831.6883770101533,25291.18055562871,29,4,0
173204.60087303424,683.4414398596928,4048.7824328304446,55,2,1
77045.96092812998,345.77268641443976,40288.95789566308,35,2,0
50508.694403496644,774.6277928221601,93521.7810170875,43,4,0
120224.22724250302,564.3079674599475,1176.5094366997687,48,1,0
188507.85934894058,337.8146485323681,58788.56919297817,54,4,1
145285.36340149515,602.344490339821,50139.64785953243,23,0,0
122611.0106160857,529.4403534366361,87338.41643710475,58,3,0
37491.76887873834,782.7621726744437,8400.171452062566,32,4,1
130701.30080585055,412.19703198516305,68152.60298866504,59,4,0
198209.6930187674,754.5555352207007,68010.96984332772,66,5,1
